,loss,age_output_loss,gender_output_loss,age_output_mae,gender_output_accuracy,val_loss,val_age_output_loss,val_gender_output_loss,val_age_output_mae,val_gender_output_accuracy,lr
0,1.1344801187515259,0.06335709989070892,0.44422996044158936,0.20097705721855164,0.7975398898124695,0.9689671993255615,0.03732020780444145,0.8005521893501282,0.1546565145254135,0.5289062261581421,0.002
1,0.38675469160079956,0.040959231555461884,0.24465203285217285,0.16255712509155273,0.9028147459030151,1.0337427854537964,0.0368487611413002,0.9146512150764465,0.15633241832256317,0.5289062261581421,0.002
2,0.3108518719673157,0.033543750643730164,0.20882081985473633,0.14621227979660034,0.9217641949653625,0.6851217150688171,0.036617960780858994,0.5771604776382446,0.1571861207485199,0.6234375238418579,0.002
3,0.27907904982566833,0.030028948560357094,0.18168093264102936,0.13668404519557953,0.9328457713127136,0.3059365153312683,0.04015360772609711,0.18586908280849457,0.17522750794887543,0.9283854365348816,0.002
4,0.26478251814842224,0.02836858294904232,0.16127070784568787,0.13168933987617493,0.9452570676803589,0.31167951226234436,0.03785422071814537,0.20244385302066803,0.16150090098381042,0.925000011920929,0.002
5,0.23899243772029877,0.026475295424461365,0.14436651766300201,0.12616737186908722,0.948803186416626,0.30203065276145935,0.04562835022807121,0.18324492871761322,0.1808159500360489,0.9351562261581421,0.002
6,0.17897237837314606,0.02342885173857212,0.11107290536165237,0.11747381836175919,0.9640957713127136,0.29955407977104187,0.022160662338137627,0.23847858607769012,0.11760321259498596,0.9203125238418579,0.001
7,0.154862642288208,0.022540226578712463,0.0861472636461258,0.11540056020021439,0.9720744490623474,0.256687730550766,0.022219747304916382,0.18939946591854095,0.11586765944957733,0.9398437738418579,0.001
8,0.15235508978366852,0.021808363497257233,0.08567065745592117,0.1136205792427063,0.9734042286872864,0.3006836175918579,0.023200104013085365,0.2253328263759613,0.11953558027744293,0.9322916865348816,0.001
9,0.14581261575222015,0.02123812772333622,0.0763145238161087,0.11222190409898758,0.9772828221321106,0.29181817173957825,0.021024418994784355,0.2221793830394745,0.11371662467718124,0.9325520992279053,0.001
10,0.13541951775550842,0.01982342265546322,0.065867580473423,0.1080242320895195,0.9775044322013855,0.3071456551551819,0.02067054994404316,0.23403480648994446,0.10965372622013092,0.934374988079071,0.001
11,0.1285330355167389,0.0195589791983366,0.06188119202852249,0.10723388195037842,0.9804964661598206,0.33101579546928406,0.0206777211278677,0.2626565098762512,0.10739857703447342,0.9309895634651184,0.001
12,0.1278412640094757,0.01867191307246685,0.05982664227485657,0.10510876029729843,0.9817154407501221,0.28302955627441406,0.021192949265241623,0.21759948134422302,0.11620291322469711,0.9408854246139526,0.001
13,0.09356402605772018,0.01724696159362793,0.04492092877626419,0.10033901780843735,0.986258864402771,0.2675870656967163,0.019172580912709236,0.21688595414161682,0.10815390944480896,0.9434896111488342,0.0005
14,0.08294552564620972,0.016513608396053314,0.03850747272372246,0.09891286492347717,0.9885860085487366,0.26426663994789124,0.016875749453902245,0.22425101697444916,0.10164018720388412,0.9411458373069763,0.0005
15,0.07649363577365875,0.016108563169836998,0.03211754560470581,0.097310870885849,0.9903590679168701,0.2753369212150574,0.01820632629096508,0.23034167289733887,0.10397681593894958,0.9429687261581421,0.0005
16,0.07098665088415146,0.015876716002821922,0.026840588077902794,0.09725641459226608,0.9915780425071716,0.2887110412120819,0.016803588718175888,0.24156604707241058,0.10162541270256042,0.94140625,0.0005
17,0.07224512845277786,0.015144126489758492,0.0286279134452343,0.09494929015636444,0.9910239577293396,0.2836737334728241,0.020447175949811935,0.23639672994613647,0.11256411671638489,0.9429687261581421,0.0005
18,0.06331056356430054,0.014509470202028751,0.022115619853138924,0.09247231483459473,0.993018627166748,0.30062082409858704,0.017004480585455894,0.25744810700416565,0.09866230934858322,0.9390624761581421,0.0005
19,0.06617072969675064,0.01424814760684967,0.024294789880514145,0.09184818714857101,0.9920212626457214,0.29385602474212646,0.019647449254989624,0.24720235168933868,0.10899194329977036,0.9429687261581421,0.0005
20,0.050950098782777786,0.01303226687014103,0.021391063928604126,0.08799020946025848,0.9939051270484924,0.2875974476337433,0.01784173958003521,0.25450778007507324,0.10493876039981842,0.942187488079071,0.00025
21,0.045413337647914886,0.012785187922418118,0.018191175535321236,0.08694430440664291,0.993794322013855,0.2964707612991333,0.016681713983416557,0.2646535038948059,0.10034618526697159,0.94140625,0.00025
